global_rank,region_rank,region,ticker,company,country,exchange,theme,latent_ai_asset,market_cap_bucket,ai_visibility,alpha_score,latent_fit,discovery_gap,valuation_gap,catalyst_density,execution_quality,hype_penalty,conviction,thesis,catalysts,risks,source_keys,latest_price,latest_currency,latest_market_cap_usd,latest_market_cap_usd_b,latest_ytd_return_pct,market_data_as_of,market_data_source,base_alpha_score,price_rerating_penalty_score,ai2027_price_adjusted_score,ai2027_trend_bonus_score,ai2027_trend_tags,ai2027_trend_note
36,18,US,BMI,Badger Meter,United States,NYSE,Sensors & Measurement,Smart water meters and flow instrumentation,Mid,Latent,77.7,19,16,10,15,13,2,Medium,Data-center water consumption makes measurement and leak detection valuable; Badger is a premium-quality sensor/utility data play.,Smart water adoption; municipal resilience budgets; software attach.,Valuation; municipal project timing; less direct AI monetization.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,130.53,USD,3692850172.0,3.693,-26.0,2026-06-09,https://finance.yahoo.com/quote/BMI/,70.3,0.0,70.3,7.4,power_grid,AI 2027/current overlay: power_grid; bonus +7.4 after cap/YTD discipline.
37,19,Non-US,AUTO.OL,AutoStore Holdings,Norway,Oslo,Industrial Automation & Robotics,Cube-storage robotics for warehouses,Mid,Emerging,77.7,21,12,11,15,9,1,Medium,Robotic cube storage becomes more valuable with AI orchestration; the stock’s prior derating creates asymmetry but competition remains intense.,Warehouse automation rebound; software optimization; retail/logistics projects.,Competition; patent/technology risk; project delays.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,11.57,NOK,4164599692.85,4.165,-3.98,2026-06-09,https://finance.yahoo.com/quote/AUTO.OL/,67.7,0.0,67.7,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
38,19,US,ZBRA,Zebra Technologies,United States,NASDAQ,Sensors & Measurement,"Barcode/RFID, machine vision and warehouse data capture",Large,Latent,77.6,20,14,12,14,10,3,Medium,"AI needs clean operational data; Zebra supplies identity, tracking and machine-vision endpoints, but warehouse spending must recover.",Retail/logistics refresh; machine vision; RFID and workflow data.,Retail capex; premium valuation; hardware cyclicality.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,234.2,USD,11906000000.0,11.906,-5.68,2026-06-09,https://finance.yahoo.com/quote/ZBRA/,67.6,0.0,67.6,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
39,20,Non-US,KRX.IR,Kingspan Group,Ireland,Euronext Dublin,Data Center Services,"Advnsys division (Tate access floors, containment, structural ceilings) - EUR 1.66B revenue data-center infrastructure business buried inside a building-materials cyclical, with backlog +24% and 2026 order intake 2x YoY",Large,Emerging,77.5,22,18,14,14,12,2,High,"Kingspan is priced as a depressed European insulated-panel/construction cyclical, but its Advnsys division (Tate raised access floors, aisle containment, structural ceilings, DC airflow infrastructure) is a quietly dominant data-center white-space franchise: FY25 Advnsys revenue EUR 1.66B (+12%), trading profit EUR 184.5M (+17%), year-end backlog +24%, and 2026 order intake running at DOUBLE the prior-year pace. Tate is the de facto standard for hyperscale raised floor and containment - a small-dollar but schedule-critical line item in every shell fit-out. The other ~80% of the business gives you a free option on EU construction recovery while the DC unit compounds.","Capacity ramps underway in US, Middle East and Asia specifically for data-center demand; H1 2026 results showing Advnsys order intake doubling; growing disclosure of the division could force sum-of-parts re-rating; any EU construction stabilization adds a second leg",82% of revenue still tied to weak European/global construction; Advnsys growth could be diluted at group level; raised-floor content per MW can shrink in liquid-cooled slab-on-grade designs; historical Grenfell-related reputational overhang,AGENT_20260609_KRXIR,82.4,EUR,17004693917.66,17.005,12.03,2026-06-09,https://finance.yahoo.com/quote/KRX.IR/,73.5,0.0,73.5,4.0,compute_factory,AI 2027/current overlay: compute_factory; bonus +4.0 after cap/YTD discipline.
40,21,Non-US,BEAN.SW,Belimo Holding,Switzerland,SIX,Thermal & Water,"HVAC actuators, valves, sensors and meters",Large,Emerging,77.3,22,10,8,17,14,3,Medium,"Belimo is a superb HVAC control compounder with data-center relevance, but valuation and growing market awareness reduce alpha.",Data-center HVAC growth; U.S. building controls; energy-efficiency regulation.,Premium multiple; Swiss franc; crowd discovery.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;BELIMO_AR,893.5,CHF,13894773754.94,13.895,9.56,2026-06-09,https://finance.yahoo.com/quote/BEAN.SW/,68.0,0.0,68.0,9.3,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.3 after cap/YTD discipline."
41,20,US,LFUS,Littelfuse,United States,NASDAQ,Power & Components,"Circuit protection, power semis and sensors",Mid,Latent,76.8,20,16,15,14,11,2,Medium,"Circuit protection and sensors become more important as data-center power density and edge devices scale, but LFUS is still viewed as a cyclical industrial/electronics compounder.",Power semiconductor recovery; data-center protection products; industrial rebound.,Auto/industrial slowdown; channel destocking; acquisition execution.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,456.0,USD,11532000000.0,11.532,73.69,2026-06-09,https://finance.yahoo.com/quote/LFUS/,73.3,0.0,73.3,3.5,power_grid,AI 2027/current overlay: power_grid; bonus +3.5 after cap/YTD discipline.
42,21,US,MTSI,MACOM Technology Solutions,United States,NASDAQ,Connectivity & Photonics,"RF, microwave, analog and optical semiconductors",Mid,Emerging,76.7,22,14,12,16,11,3,Medium,"MACOM sits in RF/optical signal chains that support high-speed networks and defense sensing, with less pure-AI crowding than the largest AI semis.",Optical/datacom components; defense RF demand; margin expansion.,Semiconductor cyclicality; valuation; customer concentration.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,358.72,USD,27369000000.0,27.369,105.03,2026-06-09,https://finance.yahoo.com/quote/MTSI/,72.7,2.0,70.7,6.0,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +6.0 after cap/YTD discipline."
43,22,US,RRX,Regal Rexnord,United States,NYSE,Power & Components,"Motors, power transmission and automation components",Mid-Large,Latent,76.3,19,15,14,13,10,4,Medium,"Motors, drives and power transmission are needed in cooling, robotics and factory automation; Regal is more of a cyclical industrial synergy story than an AI story.",Industrial recovery; synergy delivery; data-center HVAC and automation demand.,Leverage; integration risk; cyclical end markets.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,213.3,USD,14199000000.0,14.199,46.0,2026-06-09,https://finance.yahoo.com/quote/RRX/,67.0,0.0,67.0,9.3,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.3 after cap/YTD discipline."
44,22,Non-US,MDA.TO,MDA Space,Canada,TSX,Defense/Space/Edge,"Satellite systems, robotics and geointelligence",Mid,Emerging,76.0,21,14,12,16,10,2,Medium,"Space data, robotics and geointelligence are high-value AI inputs; MDA is a public space/robotics asset with strong backlog but less U.S. investor coverage.",Satellite programs; Canadarm3/robotics; geointelligence data monetization.,Government program risk; space project execution; valuation after growth.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;MDA_IR,52.57,CAD,5153789700.0,5.154,90.26,2026-06-09,https://finance.yahoo.com/quote/MDA.TO/,72.2,1.0,71.2,4.8,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +4.8 after cap/YTD discipline."
45,23,US,KN,Knowles,United States,NYSE,Sensors & Measurement,"MEMS microphones, capacitors and acoustic interfaces",Small,Latent,75.8,20,18,15,12,9,1,Speculative,Edge voice and sensor capture could become more valuable as AI moves to devices; Knowles remains a neglected component story.,Edge-AI devices; acoustic sensor wins; specialty capacitors.,Consumer electronics exposure; pricing pressure; slow design cycles.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,38.21,USD,3301000000.0,3.301,74.08,2026-06-09,https://finance.yahoo.com/quote/KN/,71.8,0.0,71.8,4.0,power_grid,AI 2027/current overlay: power_grid; bonus +4.0 after cap/YTD discipline.
46,24,US,VNT,Vontier,United States,NYSE,Sensors & Measurement,"Mobility infrastructure, diagnostics and field-device networks",Mid,Latent,75.4,18,17,15,12,8,2,Speculative,"Vontier owns device networks and diagnostics in mobility/retail fueling that could become edge-data infrastructure, but the AI case is early and non-consensus.",EV charging/fleet infrastructure; diagnostics software; portfolio refocus.,Fueling end-market decline; debt; uncertain AI relevance.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,28.82,USD,4058000000.0,4.058,-23.76,2026-06-09,https://finance.yahoo.com/quote/VNT/,68.0,0.0,68.0,7.4,power_grid,AI 2027/current overlay: power_grid; bonus +7.4 after cap/YTD discipline.
47,25,US,MKSI,MKS Instruments,United States,NASDAQ,Semi/Advanced Materials,"Vacuum, photonics, process control and advanced packaging tools",Mid,Emerging,74.8,22,14,13,16,11,4,Medium,"A foundational supplier to semiconductor manufacturing and packaging; less loved because of leverage/cycle concerns, but highly exposed to advanced-node capacity.",Semicap recovery; Atotech deleveraging/carve-out; packaging demand.,Debt load; chip-cycle swings; integration execution.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,320.96,USD,20833000000.0,20.833,90.64,2026-06-09,https://finance.yahoo.com/quote/MKSI/,70.8,1.0,69.8,5.0,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +5.0 after cap/YTD discipline."
48,26,US,INTT,inTEST Corporation,United States,NYSE American,Semi/Advanced Materials,Thermal process and semiconductor test equipment,Micro-Small,Latent,74.8,21,19,16,13,7,2,Speculative,Tiny supplier of thermal/test capability: high optionality if AI chip packaging and burn-in/test demand broadens beyond the obvious semicap names.,Semicap recovery; advanced packaging test; operating leverage from small revenue base.,Microcap liquidity; customer concentration; cyclicality.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,15.62,USD,184323518.0,0.184,107.16,2026-06-09,https://finance.yahoo.com/quote/INTT/,73.4,2.1,71.3,3.5,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +3.5 after cap/YTD discipline."
49,27,US,TDY,Teledyne Technologies,United States,NYSE,Sensors & Measurement,"Imaging sensors, instrumentation and defense/aerospace electronics",Large,Latent,74.3,21,12,10,14,13,5,Medium,"Teledyne owns sensor/imaging assets that feed AI models in defense, industrial and scientific markets; size and valuation reduce early-alpha asymmetry.",Defense sensing; machine vision; scientific instrumentation recovery.,Large-cap discovery; valuation; government project timing.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,619.26,USD,28445000000.0,28.445,19.37,2026-06-09,https://finance.yahoo.com/quote/TDY/,65.0,0.0,65.0,9.3,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.3 after cap/YTD discipline."
50,28,US,DY,Dycom Industries,United States,NYSE,Connectivity & Services,Fiber network construction and maintenance,Mid-Large,Emerging,74.1,20,11,12,16,9,4,Medium,AI-era distributed compute needs fiber backhaul; Dycom is a labor/capex execution play rather than a tech multiple story.,Fiber buildouts; carrier capex recovery; data-center interconnect demand.,Customer concentration; labor costs; carrier budget timing.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,453.79,USD,14826000000.0,14.826,30.56,2026-06-09,https://finance.yahoo.com/quote/DY/,64.6,0.0,64.6,9.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +9.5 after cap/YTD discipline."
51,23,Non-US,6841.T,Yokogawa Electric,Japan,Tokyo,Industrial Automation & Robotics,"Industrial control, measurement and plant data systems",Large,Emerging,74.0,20,13,11,15,12,7,Medium,Industrial data/control systems become the interface for autonomous operations and industrial AI; Yokogawa is diversified and not a pure AI play.,Process automation upgrades; cybersecurity/DX; energy efficiency projects.,Oil/gas capex cyclicality; slow software mix; AI already mentioned in DX narrative.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;YOKOGAWA_IR,4939.0,JPY,8180429528.45,8.18,-4.28,2026-06-09,https://finance.yahoo.com/quote/6841.T/,64.0,0.0,64.0,10.0,"physical_ai,power_grid,security_sovereign","AI 2027/current overlay: physical_ai,power_grid,security_sovereign; bonus +10.0 after cap/YTD discipline."
52,29,US,MWA,Mueller Water Products,United States,NYSE,Thermal & Water,"Water infrastructure valves, hydrants and monitoring",Mid,Latent,74.0,18,16,13,13,10,2,Medium,"Data-center and municipal water stress makes resilient pipes, valves and monitoring more strategic than the market usually assumes.",Municipal capex; leak detection; industrial water projects.,Municipal funding cycle; execution; indirect AI link.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,26.12,USD,3963000000.0,3.963,9.11,2026-06-09,https://finance.yahoo.com/quote/MWA/,68.0,0.0,68.0,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
53,30,US,NOVT,Novanta,United States,NASDAQ,Sensors & Measurement,"Precision motion, photonics and medical/industrial subsystems",Mid,Latent,74.0,20,14,10,14,12,3,Medium,Precision motion and photonics subsystems support robotics and automated equipment; quality is high but valuation reduces alpha.,Advanced manufacturing; medical robotics; photonics modules.,Valuation; industrial softness; acquisition integration.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,160.65,USD,5721000000.0,5.721,44.55,2026-06-09,https://finance.yahoo.com/quote/NOVT/,64.0,0.0,64.0,10.0,"packaging_memory_test,physical_ai,power_grid","AI 2027/current overlay: packaging_memory_test,physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
54,24,Non-US,NEX.PA,Nexans,France,Euronext Paris,Power & Grid,Electrification cables and grid infrastructure,Mid-Large,Emerging,73.7,21,10,11,16,12,3,Medium,Electrification and grid cable scarcity can support AI data-center power buildout; Nexans is less obvious than some U.S. electrical names.,Grid cable demand; electrification margin mix; portfolio focus.,European utilities cycle; project risk; copper volatility.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,148.8,EUR,7812986686.34,7.813,15.98,2026-06-09,https://finance.yahoo.com/quote/NEX.PA/,67.7,0.0,67.7,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
55,25,Non-US,ALFA.ST,Alfa Laval,Sweden,Nasdaq Stockholm,Thermal & Water,"Heat exchangers, separation and fluid-handling systems",Large,Emerging,73.5,22,10,9,17,13,3,Medium,"Heat exchangers and fluid handling are critical to cooling and energy efficiency, but Alfa Laval is a large quality industrial already seeing data-center attention.",Data-center orders; heat-transfer capex; service growth.,Valuation; marine/energy cycles; large-cap discovery.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;ALFA_AR,530.2,SEK,23543331431.24,23.543,13.19,2026-06-09,https://finance.yahoo.com/quote/ALFA.ST/,68.0,0.0,68.0,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
56,31,US,POWL,Powell Industries,United States,NASDAQ,Power & Grid,Custom switchgear and electrical power distribution systems,Mid,Emerging,73.5,24,11,12,19,11,5,Medium,"Switchgear is a bottleneck in data-center power delivery; Powell has real exposure, but the stock has already had a large run, lowering fresh alpha.",Utility/commercial backlog; data-center electrical rooms; capacity expansion.,Cyclical orders; crowd discovery; margin normalization after record cycle.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;POWELL_IR,283.51,USD,10373183419.0,10.373,141.27,2026-06-09,https://finance.yahoo.com/quote/POWL/,72.6,4.4,68.2,5.3,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +5.3 after cap/YTD discipline."
57,26,Non-US,6965.T,Hamamatsu Photonics,Japan,Tokyo,Sensors & Measurement,"Photodetectors, imaging sensors and photonics modules",Mid-Large,Latent,73.3,22,14,12,13,10,7,Medium,"Photon detection is a raw-signal layer for scientific, medical, industrial and potential photonic AI systems; earnings pressure keeps enthusiasm muted.",Semiconductor instruments; LiDAR/scientific sensors; imaging recovery.,Weak operating profit; Japan photonics competition; premium history.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;HAMAMATSU_IR,2663.5,JPY,5151846030.89,5.152,55.99,2026-06-09,https://finance.yahoo.com/quote/6965.T/,63.3,0.0,63.3,10.0,"packaging_memory_test,physical_ai,power_grid","AI 2027/current overlay: packaging_memory_test,physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
58,27,Non-US,PRY.MI,Prysmian,Italy,Borsa Italiana,Power & Grid,"Power cables, fiber and grid interconnect infrastructure",Large,Emerging,73.3,22,9,10,17,12,3,Medium,"Cables are a core AI-era bottleneck across grid and fiber, but Prysmian is increasingly recognized as an electrification/data-center supplier.",Grid interconnections; fiber demand; EHV/HVDC projects.,Project execution; commodity prices; large-cap discovery.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,142.4,EUR,49015090309.14,49.015,58.43,2026-06-09,https://finance.yahoo.com/quote/PRY.MI/,67.0,0.0,67.0,6.3,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +6.3 after cap/YTD discipline."
59,32,US,GRC,Gorman-Rupp,United States,NYSE,Thermal & Water,"Pumps for industrial, municipal and dewatering applications",Small-Mid,Latent,72.3,18,18,15,12,8,2,Speculative,"Water movement and cooling-adjacent pumping can become a quiet data-center infrastructure need, while GRC remains a traditional industrial name.",Municipal infrastructure; cooling/water projects; margin recovery.,Industrial cyclicality; small scale; slower growth profile.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,81.11,USD,2035965632.0,2.036,68.49,2026-06-09,https://finance.yahoo.com/quote/GRC/,67.8,0.0,67.8,4.5,power_grid,AI 2027/current overlay: power_grid; bonus +4.5 after cap/YTD discipline.
60,33,US,ACM,AECOM,United States,NYSE,Data Center Services,Engineering/design for infrastructure and critical facilities,Large,Latent,71.7,17,14,11,13,12,6,Medium,Engineering and permitting capacity is a hidden bottleneck in power/data-center projects; AECOM is high quality but large and diversified.,Power/grid design; environmental permitting; data-center campus services.,Low direct AI mix; valuation; public-sector budget shifts.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,71.29,USD,9031000000.0,9.031,-26.05,2026-06-09,https://finance.yahoo.com/quote/ACM/,61.7,0.0,61.7,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
61,28,Non-US,6645.T,OMRON,Japan,Tokyo,Industrial Automation & Robotics,"Sensing, control and factory automation",Large,Emerging,71.1,20,12,12,14,10,6,Medium,Factory automation can become an AI deployment layer; Omron’s restructuring creates turnaround optionality but the AI linkage is not hidden.,IAB recovery; sensor/control upgrades; restructuring benefits.,Japan automation cycle; China demand; execution risk.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;OMRON_IR,5746.0,JPY,7512108096.54,7.512,43.79,2026-06-09,https://finance.yahoo.com/quote/6645.T/,61.3,0.0,61.3,9.8,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.8 after cap/YTD discipline."
62,34,US,KEYS,Keysight Technologies,United States,NYSE,Sensors & Measurement,Electronic design/test and network emulation,Large,Emerging,71.0,22,11,10,16,12,6,Medium,"AI hardware and networks need test/validation; Keysight is a high-quality tollbooth, but the market already understands its semicap/test role.",800G/1.6T; chip design validation; telecom recovery.,Valuation; cyclicality; already institutionally owned.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,331.43,USD,56640000000.0,56.64,60.43,2026-06-09,https://finance.yahoo.com/quote/KEYS/,64.2,0.0,64.2,6.8,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +6.8 after cap/YTD discipline."
63,35,US,CGNX,Cognex,United States,NASDAQ,Industrial Automation & Robotics,Machine vision and industrial barcode systems,Mid,Emerging,70.6,21,11,11,14,10,3,Medium,Machine vision is an obvious industrial AI endpoint; the alpha comes only if factory automation capex recovers before the crowd returns.,Factory automation recovery; logistics vision; AI vision features.,Industrial capex; valuation; competitive vision software.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,61.32,USD,10930000000.0,10.93,66.04,2026-06-09,https://finance.yahoo.com/quote/CGNX/,63.3,0.0,63.3,7.3,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +7.3 after cap/YTD discipline."
64,29,Non-US,6845.T,Azbil,Japan,Tokyo,Thermal & Water,"Building automation, measurement/control and lifeline systems",Large,Latent,70.3,20,13,10,15,12,6,Medium,"Building automation and control systems are key to efficient data-center/facility operations, but Azbil is still mostly valued as a Japanese control company.",Building automation; lifeline metering; energy efficiency retrofits.,Japan large-cap valuation; divestment effects; indirect AI exposure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;AZBIL_IR,1547.5,JPY,4926178485.24,4.926,8.71,2026-06-09,https://finance.yahoo.com/quote/6845.T/,64.3,0.0,64.3,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
65,36,US,MTZ,MasTec,United States,NYSE,Connectivity & Services,"Power, renewables, communications and civil infrastructure",Mid-Large,Emerging,70.2,20,11,12,16,9,6,Medium,"Grid, fiber and power construction are bottlenecks for AI campuses; MasTec is broad, cyclical and not a pure AI name.",Grid/fiber spending; renewable interconnect; data-center power access.,Project execution; leverage; labor and permitting.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,353.08,USD,27900000000.0,27.9,55.1,2026-06-09,https://finance.yahoo.com/quote/MTZ/,62.7,0.0,62.7,7.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +7.5 after cap/YTD discipline."
66,37,US,SPXC,SPX Technologies,United States,NYSE,Thermal & Water,"HVAC, cooling towers and detection/measurement",Mid-Large,Discovered,69.3,21,9,9,17,12,3,Medium,"Data-center HVAC exposure is real, but the market has increasingly identified SPX as a cooling beneficiary, lowering discovery upside.",HVAC backlog; data-center cooling demand; bolt-on acquisitions.,Crowd discovery; valuation; HVAC order normalization.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;SPX_IR,228.01,USD,11404770324.0,11.405,12.18,2026-06-09,https://finance.yahoo.com/quote/SPXC/,63.8,0.0,63.8,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
67,30,Non-US,IFX.DE,Infineon Technologies,Germany,Xetra,Power & Components,"Power semiconductors, microcontrollers and sensors",Large,Emerging,69.3,22,10,11,15,12,4,Medium,"Infineon’s power chips and controllers are essential to efficient power conversion and edge devices, but it is too large and known for maximum early alpha.",Data-center power supplies; industrial power semis; automotive recovery.,Auto/industrial weakness; valuation; China competition.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,75.66,EUR,113451448000.0,113.451,97.73,2026-06-09,https://finance.yahoo.com/quote/IFX.DE/,66.0,1.5,64.5,4.8,"physical_ai,power_grid,security_sovereign","AI 2027/current overlay: physical_ai,power_grid,security_sovereign; bonus +4.8 after cap/YTD discipline."
68,38,US,WCC,WESCO International,United States,NYSE,Distribution/Services,"Electrical, communications and utility distribution",Mid-Large,Emerging,68.7,20,12,12,15,10,7,Medium,"A distributor of electrical and communications parts can quietly benefit from data-center/grid builds, though leverage and scale make it less early.",Data-center electrical supply; utility modernization; broadband build.,Leverage; cyclicality; distributor margin pressure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,355.3,USD,17022000000.0,17.022,40.92,2026-06-09,https://finance.yahoo.com/quote/WCC/,63.2,0.0,63.2,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
69,31,Non-US,6506.T,Yaskawa Electric,Japan,Tokyo,Industrial Automation & Robotics,"Servos, motion control and industrial robots",Large,Emerging,68.6,21,9,10,15,11,6,Medium,"Robots and servo drives are obvious beneficiaries of AI-enabled factories, but Yaskawa is a known automation cyclical.",Robotics recovery; motion-control demand; China capex rebound.,China industrial weakness; competition; valuation swings.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,6395.0,JPY,11034654194.88,11.035,28.83,2026-06-09,https://finance.yahoo.com/quote/6506.T/,59.3,0.0,59.3,9.3,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.3 after cap/YTD discipline."
70,32,Non-US,5802.T,Sumitomo Electric,Japan,Tokyo,Connectivity & Photonics,"Optical fiber, wire harnesses and power infrastructure",Large,Emerging,68.5,22,10,12,15,11,5,Medium,"A broad Japanese supplier of fiber and electrification hardware; AI campus fiber research helps, but conglomerate complexity tempers upside.",Multicore fiber; grid/automotive recovery; telecom demand.,Conglomerate discount; auto exposure; discovery after fiber news.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;SUMITOMO_IR,12040.0,JPY,62909896957.25,62.91,79.43,2026-06-09,https://finance.yahoo.com/quote/5802.T/,65.0,0.3,64.7,3.8,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +3.8 after cap/YTD discipline."
71,39,US,CNM,Core & Main,United States,NYSE,Thermal & Water,"Water, wastewater and storm-drainage distribution",Mid,Latent,68.3,17,15,11,13,10,4,Medium,"Data-center water constraints could increase the value of water infrastructure distribution, but the AI linkage is indirect.",Municipal water capex; industrial water projects; bolt-on M&A.,Valuation; housing/municipal cycle; indirect AI exposure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,52.65,USD,10252000000.0,10.252,-1.42,2026-06-09,https://finance.yahoo.com/quote/CNM/,62.0,0.0,62.0,6.3,power_grid,AI 2027/current overlay: power_grid; bonus +6.3 after cap/YTD discipline.
72,33,Non-US,010120.KS,LS Electric,South Korea,KRX,Power & Grid,"Switchgear, automation and power infrastructure",Large,Emerging,68.1,22,12,12,16,9,5,Medium,Korean electrical infrastructure supplier with data-center/grid optionality and less global coverage than U.S. peers.,Korea/Asia data-center power; grid automation; overseas expansion.,Korean market cyclicality; FX; discovery after transformer reratings.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,219500.0,KRW,23641992115.0,23.642,122.84,2026-06-09,https://finance.yahoo.com/quote/010120.KS/,66.0,3.2,62.8,5.3,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +5.3 after cap/YTD discipline."
73,34,Non-US,DPLM.L,Diploma,United Kingdom,LSE,Distribution/Services,"Technical distribution in controls, seals and life sciences",Large,Emerging,67.8,18,11,8,15,13,2,Medium,"Windy City Wire and controls exposure touch data-center infrastructure, but Diploma’s high-quality compounder valuation reduces alpha.",Controls growth; specialist M&A; North America data-center distribution.,High multiple; M&A execution; UK/EU cyclical exposure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;DIPLOMA_IR,7000.0,GBp,12659272400.0,12.659,32.2,2026-06-09,https://finance.yahoo.com/quote/DPLM.L/,62.3,0.0,62.3,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
